CCCNC(=O)c1ccccc1N*;S(=O)(=O)(c1ccc(SC)cc1);CCCNC(=O)c1ccccc1NS(=O)(=O)c1ccc(SC)cc1
Cn1ccnc1S(=O)(=O)CC(=O)*;N(c1cccc(C(F)(F)F)c1);Cn1ccnc1S(=O)(=O)CC(=O)Nc1cccc(C(F)(F)F)c1
C[C@@H](C(=O)NCc1ccccc1)*;S(c1nnc(-c2cccs2)n1N);C[C@H](Sc1nnc(-c2cccs2)n1N)C(=O)NCc1ccccc1
O=C(c1cc(F)c(F)cc1Cl)*;N(c1ccc2c(c1)CCC2);O=C(Nc1ccc2c(c1)CCC2)c1cc(F)c(F)cc1Cl
C[C@@H]1c2cccn2CCN1*;S(=O)(=O)(c1cccc(Cl)c1);C[C@@H]1c2cccn2CCN1S(=O)(=O)c1cccc(Cl)c1
COc1cc(C(C)=O)ccc1*;O(C[C@@H](O)C[NH+]1CCOCC1);COc1cc(C(C)=O)ccc1OC[C@@H](O)C[NH+]1CCOCC1
O=C(COc1ccc(F)cc1)*;O(c1cccc2cccnc12);O=C(COc1ccc(F)cc1)Oc1cccc2cccnc12
COC(=O)[C@H](CC(C)C)NC(=O)*;N(c1ccc(S(N)(=O)=O)cc1);COC(=O)[C@H](CC(C)C)NC(=O)Nc1ccc(S(N)(=O)=O)cc1
CCc1nc2ccccc2n1C[C@H](O)*;C(OCc1ccccc1);CCc1nc2ccccc2n1C[C@H](O)COCc1ccccc1
C[C@@H](C(=O)c1ccc2c(c1)CCC2)*;O(C(=O)c1ccccc1);C[C@H](OC(=O)c1ccccc1)C(=O)c1ccc2c(c1)CCC2
Cc1cc(F)c(F)cc1*;C(=O)(NC[C@H]1CCCO1);Cc1cc(F)c(F)cc1C(=O)NC[C@H]1CCCO1
O=C(Cc1ccc(Cl)cc1Cl)*;N(Cc1ccccc1Cl);O=C(Cc1ccc(Cl)cc1Cl)NCc1ccccc1Cl
COCCN(C(=O)Nc1ccc(C)cc1)*;C(c1ccc(OC)cc1);COCCN(Cc1ccc(OC)cc1)C(=O)Nc1ccc(C)cc1
Cc1c(*)ccc2c3c(c(=O)oc12)CCC3;O([C@@H](C)C(=O)OC(C)C);Cc1c(O[C@@H](C)C(=O)OC(C)C)ccc2c3c(c(=O)oc12)CCC3
O=C(Nc1ccccc1C(F)(F)F)*;C(NC(=O)c1ccccc1F);O=C(CNC(=O)c1ccccc1F)Nc1ccccc1C(F)(F)F
O=C(NCCCc1ccccc1)*;C(Sc1ccc(Br)cc1);O=C(CSc1ccc(Br)cc1)NCCCc1ccccc1
C[C@H]([NH2+]C[C@@H](O)C*)c1ccccc1;O(c1c(F)cc(Br)cc1F);C[C@H]([NH2+]C[C@@H](O)COc1c(F)cc(Br)cc1F)c1ccccc1
COC(=O)[C@H](C)NC(=O)[C@H](C)*;O(c1ccc(Cl)cc1Cl);COC(=O)[C@H](C)NC(=O)[C@H](C)Oc1ccc(Cl)cc1Cl
O=C(Cn1cnc2ccc(Br)cc2c1=O)*;N(c1ccc(F)c(F)c1);O=C(Cn1cnc2ccc(Br)cc2c1=O)Nc1ccc(F)c(F)c1
CSc1nnc(C)c(=O)n1C*;O(C(=O)c1ccccc1);CSc1nnc(C)c(=O)n1COC(=O)c1ccccc1
O=C(COC(=O)c1ccccc1O)*;N(c1cccc2ccccc12);O=C(COC(=O)c1ccccc1O)Nc1cccc2ccccc12
C[C@@H](c1nc2ccccc2c(=O)[nH]1)*;S(c1ccc(F)c(F)c1);C[C@H](Sc1ccc(F)c(F)c1)c1nc2ccccc2c(=O)[nH]1
COc1ccc2cc(Br)ccc2c1C*;C(=O)(Nc1ccccc1);COc1ccc2cc(Br)ccc2c1CC(=O)Nc1ccccc1
CN([C@@H](CC(N)=O)C(=O)[O-])*;C(=O)(OCc1ccccc1);CN(C(=O)OCc1ccccc1)[C@@H](CC(N)=O)C(=O)[O-]
O=C(CSc1nnc2c(Cl)cc(Cl)cn12)*;N(Cc1ccc(Cl)cc1);O=C(CSc1nnc2c(Cl)cc(Cl)cn12)NCc1ccc(Cl)cc1
COc1cc(SC)ccc1C(=O)*;N(c1c(Cl)cncc1Cl);COc1cc(SC)ccc1C(=O)Nc1c(Cl)cncc1Cl
O=C(CO*)Nc1cc(Cl)cc(Cl)c1;C(=O)([C@H]1C[C@@H]2C=C[C@H]1C2);O=C(COC(=O)[C@H]1C[C@@H]2C=C[C@H]1C2)Nc1cc(Cl)cc(Cl)c1
CCCC(=O)Nc1ccccc1N*;C(=O)([C@@H](C)Oc1ccccc1);CCCC(=O)Nc1ccccc1NC(=O)[C@@H](C)Oc1ccccc1
O=C(OC*)c1ccc(Br)o1;C(Oc1ccc(Br)cc1);O=C(OCCOc1ccc(Br)cc1)c1ccc(Br)o1
C[C@H]1CCCC[C@H]1NC(=O)C*;O(c1ccc(Cl)cc1Cl);C[C@H]1CCCC[C@H]1NC(=O)COc1ccc(Cl)cc1Cl
Cc1ccc2c(N*)cccc2n1;C(=O)(C(C(F)(F)F)C(F)(F)F);Cc1ccc2c(NC(=O)C(C(F)(F)F)C(F)(F)F)cccc2n1
O=C(C*)NCc1ccco1;O(C(=O)c1ccc(Cl)cc1);O=C(COC(=O)c1ccc(Cl)cc1)NCc1ccco1
O=C(CSc1nnnn1C1CCCCC1)*;N(c1c(Cl)cccc1Cl);O=C(CSc1nnnn1C1CCCCC1)Nc1c(Cl)cccc1Cl
Cc1cc(C(F)(F)F)nn1*;C(C(=O)N1CCCCC1);Cc1cc(C(F)(F)F)nn1CC(=O)N1CCCCC1
O=C([C@H]1CCCC[C@H]1C(=O)[O-])*;N(Cc1ccccc1F);O=C(NCc1ccccc1F)[C@H]1CCCC[C@H]1C(=O)[O-]
C[C@H](Sc1nc2ccccc2o1)*;C(=O)(NCCc1ccc(F)cc1);C[C@H](Sc1nc2ccccc2o1)C(=O)NCCc1ccc(F)cc1
CC(C)(CN*)OCc1ccccc1;S(=O)(=O)(c1ccc(Cl)cc1);CC(C)(CNS(=O)(=O)c1ccc(Cl)cc1)OCc1ccccc1
CCOC(=O)[C@](O)(C*)C(F)(F)F;C(=O)(Nc1cccc(Cl)c1);CCOC(=O)[C@](O)(CC(=O)Nc1cccc(Cl)c1)C(F)(F)F
C[C@@H](C(=O)Nc1cccc(Cl)c1)*;O(c1ccccc1C#N);C[C@H](Oc1ccccc1C#N)C(=O)Nc1cccc(Cl)c1
O=C(NCc1ccccc1Cl)*;C(Sc1ccccc1Cl);O=C(CSc1ccccc1Cl)NCc1ccccc1Cl
O=S(=O)([O-])c1cccnc1*;N(c1c(Cl)cccc1Cl);O=S(=O)([O-])c1cccnc1Nc1c(Cl)cccc1Cl
O[C@@H](C[NH2+]*)c1ccccc1;C(COc1ccccc1F);O[C@@H](C[NH2+]CCOc1ccccc1F)c1ccccc1
C[C@@H](CCc1ccccc1)N*;C(=O)(c1ccc(N)cc1);C[C@@H](CCc1ccccc1)NC(=O)c1ccc(N)cc1
CCN(C[C@@H]1COc2ccccc2O1)*;C(=O)(c1ccccc1Cl);CCN(C[C@@H]1COc2ccccc2O1)C(=O)c1ccccc1Cl
C[C@H]1C=CC2=CCCC[C@@H]2[C@H]1*;C(C[C@@H]1C[C@@H](O)CC(=O)O1);C[C@H]1C=CC2=CCCC[C@@H]2[C@H]1CC[C@@H]1C[C@@H](O)CC(=O)O1
O=C([C@H]1CCCC[C@H]1C(=O)[O-])*;N(CCc1ccncc1);O=C(NCCc1ccncc1)[C@H]1CCCC[C@H]1C(=O)[O-]
O=C(Nc1ccc(Cl)c(Cl)c1)*;C(Oc1ccc(CO)cc1);O=C(COc1ccc(CO)cc1)Nc1ccc(Cl)c(Cl)c1
O=C(Nc1ccccc1)*;N(c1cccc(Cl)c1Cl);O=C(Nc1ccccc1)Nc1cccc(Cl)c1Cl
CC(C)(NC(=O)c1ccccc1)*;N(C(=O)c1ccccc1);CC(C)(NC(=O)c1ccccc1)NC(=O)c1ccccc1
CSc1nnc(C)c(=O)n1CO*;C(=O)(c1ccc(F)cc1);CSc1nnc(C)c(=O)n1COC(=O)c1ccc(F)cc1
CN(C(=O)*)c1ccccc1;C(Sc1nncc([O-])n1);CN(C(=O)CSc1nncc([O-])n1)c1ccccc1
CCC[NH+]1[C@H]2CCC[C@@H]1CC(*)C2;N(C(=O)Nc1ccc(SC)cc1);CCC[NH+]1[C@H]2CCC[C@@H]1CC(NC(=O)Nc1ccc(SC)cc1)C2
O=C(CN*)OCc1nc2ccccc2s1;C(=O)(c1ccccc1F);O=C(CNC(=O)c1ccccc1F)OCc1nc2ccccc2s1
C[C@H](NC(=O)*)c1ccc(F)cc1;C(Sc1nc(-c2cccs2)n[nH]1);C[C@H](NC(=O)CSc1nc(-c2cccs2)n[nH]1)c1ccc(F)cc1
CC(=O)NC1C[C@@H]2CCC[C@H](C1)[NH+]2C*;C(=O)(Nc1ccccc1);CC(=O)NC1C[C@@H]2CCC[C@H](C1)[NH+]2CC(=O)Nc1ccccc1
O=C(N1CCc2ccccc21)*;C(Sc1cc(Cl)ccc1Cl);O=C(CSc1cc(Cl)ccc1Cl)N1CCc2ccccc21
O=C([O-])CN(c1cccc(Br)c1)*;S(=O)(=O)(c1ccccc1);O=C([O-])CN(c1cccc(Br)c1)S(=O)(=O)c1ccccc1
CC[NH+](CC)[C@H](C*)C(=O)[O-];C(=O)(Nc1ccc(O)cc1);CC[NH+](CC)[C@H](CC(=O)Nc1ccc(O)cc1)C(=O)[O-]
Cc1ccccc1CC(=O)*;N(c1ccc2c(c1)CCC2);Cc1ccccc1CC(=O)Nc1ccc2c(c1)CCC2
O=C(Nc1ccc(SC(F)F)cc1)*;C(OC(=O)c1ccc(Br)o1);O=C(COC(=O)c1ccc(Br)o1)Nc1ccc(SC(F)F)cc1
O=S(=O)(NC*)c1ccc2ccccc2c1;C(Oc1ccc(Cl)cc1);O=S(=O)(NCCOc1ccc(Cl)cc1)c1ccc2ccccc2c1
OCc1ccccc1O*;C(c1ccc(Cl)cc1Cl);OCc1ccccc1OCc1ccc(Cl)cc1Cl
C=CC[C@@H](c1ccccc1)*;N(C(C)=O)(c1ccco1);C=CC[C@@H](c1ccccc1)N(C(C)=O)c1ccco1
C[C@H](CCc1ccccc1)NC(=O)*;C(Oc1ccc(I)cc1);C[C@H](CCc1ccccc1)NC(=O)COc1ccc(I)cc1
O=C(CSc1nc2ccccc2[nH]1)*;N(c1ccc(Cl)cc1O);O=C(CSc1nc2ccccc2[nH]1)Nc1ccc(Cl)cc1O
C[C@H](O)C[NH2+]CC(=O)NC*;C(c1ccc(Cl)cc1Cl);C[C@H](O)C[NH2+]CC(=O)NCCc1ccc(Cl)cc1Cl
O=C(c1c[nH]c2ccccc12)*;O(Cc1c(Cl)cccc1Cl);O=C(OCc1c(Cl)cccc1Cl)c1c[nH]c2ccccc12
O=C(Nc1csc2c1CCCC2)*;N(c1ccc2c(c1)OCCO2);O=C(Nc1ccc2c(c1)OCCO2)Nc1csc2c1CCCC2
Cc1ccc2c(c1)N(C*)C(=O)CO2;C(=O)(N1CCC[C@H](C)C1);Cc1ccc2c(c1)N(CC(=O)N1CCC[C@H](C)C1)C(=O)CO2
O=C(C*)Nc1c(Cl)cccc1Cl;S(c1nnnn1-c1ccccc1);O=C(CSc1nnnn1-c1ccccc1)Nc1c(Cl)cccc1Cl
CC(=O)N[C@@H](C(=O)NC1CCCCC1)*;C(c1c[nH]c2ccccc12);CC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NC1CCCCC1
N#Cc1ccccc1OC*;C(=O)(c1ccc(Br)cc1);N#Cc1ccccc1OCC(=O)c1ccc(Br)cc1
CCOc1ccccc1*;N(C(=O)CCC(=O)OC);CCOc1ccccc1NC(=O)CCC(=O)OC
C[C@H](C(=O)NCc1ccccc1)*;N(S(=O)(=O)c1ccc(F)cc1);C[C@@H](NS(=O)(=O)c1ccc(F)cc1)C(=O)NCc1ccccc1
CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)*)C(=O)C2;N(c1cccc(C#N)c1);CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)Nc1cccc(C#N)c1)C(=O)C2
CC(C)=C1[C@H]2C=C[C@@H]1[C@H](C(=O)[O-])[C@@H]2*;C(=O)(Nc1ccc(Cl)c(Cl)c1);CC(C)=C1[C@H]2C=C[C@@H]1[C@H](C(=O)[O-])[C@@H]2C(=O)Nc1ccc(Cl)c(Cl)c1
COc1cc(CO)c(Br)cc1O*;C(c1ccccc1C#N);COc1cc(CO)c(Br)cc1OCc1ccccc1C#N
O=C(O*)c1ccccc1O;C(C(=O)N1CCOCC1);O=C(OCC(=O)N1CCOCC1)c1ccccc1O
C[C@H](Nc1cccc(Br)c1)C(=O)*;N(c1ccc2c(c1)OCO2);C[C@H](Nc1cccc(Br)c1)C(=O)Nc1ccc2c(c1)OCO2
CCc1cccc(C)c1NC(=O)*;C(n1nc(C)n2cccc2c1=O);CCc1cccc(C)c1NC(=O)Cn1nc(C)n2cccc2c1=O
O=C(CNC(=O)c1ccco1)O*;C(C(=O)c1ccc(Cl)s1);O=C(CNC(=O)c1ccco1)OCC(=O)c1ccc(Cl)s1
CCC[NH2+][C@@H](CC(=O)*)C(=O)[O-];N(c1ccc2ccccc2c1);CCC[NH2+][C@@H](CC(=O)Nc1ccc2ccccc2c1)C(=O)[O-]
O=C(COc1ccccc1Cl)*;N(c1ccc(Cl)c(Cl)c1);O=C(COc1ccccc1Cl)Nc1ccc(Cl)c(Cl)c1
O=C(Nc1ccccc1Br)*;C(Oc1ccc(F)cc1);O=C(COc1ccc(F)cc1)Nc1ccccc1Br
COC(=O)[C@@H](N*)c1ccccc1;C(=O)(c1ccc(Cl)cc1Cl);COC(=O)[C@@H](NC(=O)c1ccc(Cl)cc1Cl)c1ccccc1
C[C@@H](O)c1nc2ccccc2n1C*;C(Oc1ccc(F)cc1);C[C@@H](O)c1nc2ccccc2n1CCOc1ccc(F)cc1
O=C(C*)NCc1ccco1;O(C(=O)c1ccccc1O);O=C(COC(=O)c1ccccc1O)NCc1ccco1
COc1ccccc1NC(=O)CO*;C(=O)(c1cccc(C)c1);COc1ccccc1NC(=O)COC(=O)c1cccc(C)c1
C[C@@H](Sc1nc(N)cc(N)n1)C(=O)N*;C([C@H](C)c1ccccc1);C[C@@H](Sc1nc(N)cc(N)n1)C(=O)NC[C@H](C)c1ccccc1
Cc1ccccc1OCC(=O)*;N(c1sc(C)c(C)c1C(N)=O);Cc1ccccc1OCC(=O)Nc1sc(C)c(C)c1C(N)=O
O=C(COc1cccc(Cl)c1)N*;C(c1ccc2c(c1)OCO2);O=C(COc1cccc(Cl)c1)NCc1ccc2c(c1)OCO2
C=CCNC(=O)CCC*;O(c1cc(C)ccc1C);C=CCNC(=O)CCCOc1cc(C)ccc1C
O=C(CN*)NCc1ccccn1;S(=O)(=O)(c1ccccc1);O=C(CNS(=O)(=O)c1ccccc1)NCc1ccccn1
CC(C)[C@H]([NH+]1CCOCC1)*;C(c1ccc(C#N)cc1);CC(C)[C@@H](Cc1ccc(C#N)cc1)[NH+]1CCOCC1
CC[C@H]1CCCCN1C(=O)[C@H](C)*;O(c1ccc(Cl)cc1Cl);CC[C@H]1CCCCN1C(=O)[C@H](C)Oc1ccc(Cl)cc1Cl
Cc1ccc(S(N)(=O)=O)c(C)c1N(C)*;S(=O)(=O)(c1ccc(F)cc1);Cc1ccc(S(N)(=O)=O)c(C)c1N(C)S(=O)(=O)c1ccc(F)cc1
CCc1ccc(Cl)c(CC)c1*;N(C(=O)c1ccccn1);CCc1ccc(Cl)c(CC)c1NC(=O)c1ccccn1
Cc1noc(C)c1C(=O)OCC(=O)*;N(c1ccc2c(c1)OCCO2);Cc1noc(C)c1C(=O)OCC(=O)Nc1ccc2c(c1)OCCO2
N#CCCN(C(=O)*)c1ccccc1;C(OC(=O)c1cccc(Cl)c1);N#CCCN(C(=O)COC(=O)c1cccc(Cl)c1)c1ccccc1
CN(C(=O)c1ccc2ccccc2n1)*;C(c1ccc2c(c1)OCO2);CN(Cc1ccc2c(c1)OCO2)C(=O)c1ccc2ccccc2n1
NC(=O)C[C@H](N*)C(=O)[O-];C(=O)(Cc1ccccc1);NC(=O)C[C@H](NC(=O)Cc1ccccc1)C(=O)[O-]
Cc1cc(Cl)ccc1O[C@@H](C)*;C(=O)(n1cnc2ccccc12);Cc1cc(Cl)ccc1O[C@@H](C)C(=O)n1cnc2ccccc21
O=C(COC(=O)c1cc(Br)ccc1Cl)*;N(CCc1ccccc1);O=C(COC(=O)c1cc(Br)ccc1Cl)NCCc1ccccc1
O=C([O-])[C@H]1CC=CC[C@@H]1C(=O)*;O(Cc1ccc(Cl)cc1Cl);O=C([O-])[C@H]1CC=CC[C@@H]1C(=O)OCc1ccc(Cl)cc1Cl
C=CCc1cc(C)ccc1OCC*;C([NH+]1C[C@H](C)O[C@H](C)C1);C=CCc1cc(C)ccc1OCCC[NH+]1C[C@H](C)O[C@H](C)C1
C=CCNC(=O)c1ccccc1N*;C(=O)(Cc1c(Cl)cccc1Cl);C=CCNC(=O)c1ccccc1NC(=O)Cc1c(Cl)cccc1Cl
COc1ccc(C)cc1NC(=O)*;C(N(C)S(=O)(=O)c1ccccc1);COc1ccc(C)cc1NC(=O)CN(C)S(=O)(=O)c1ccccc1
COC(=O)c1ccccc1N*;C(=O)(c1ccc(C)cc1);COC(=O)c1ccccc1NC(=O)c1ccc(C)cc1
C[C@@H](/C(O)=N/c1ccc2c(c1)OCO2)*;O(C(=O)c1ccc(O)cc1);C[C@H](OC(=O)c1ccc(O)cc1)/C(O)=N/c1ccc2c(c1)OCO2
O=C(CCNC(=O)c1ccccc1Cl)*;N(CCc1ccc(Cl)cc1);O=C(CCNC(=O)c1ccccc1Cl)NCCc1ccc(Cl)cc1
Cc1cc(Br)ccc1N*;C(=O)(c1ccccc1Cl);Cc1cc(Br)ccc1NC(=O)c1ccccc1Cl
O=C(Cc1cccc(C(F)(F)F)c1)*;O(CC(=O)c1ccc(Br)cc1);O=C(Cc1cccc(C(F)(F)F)c1)OCC(=O)c1ccc(Br)cc1
C[NH+](CCOc1ccc(Cl)cc1)C*;C(=O)(NC1(C#N)CCCC1);C[NH+](CCOc1ccc(Cl)cc1)CC(=O)NC1(C#N)CCCC1
CCC[C@@H](C(=O)*)c1ccccc1;N(c1ccc(C#N)cc1);CCC[C@@H](C(=O)Nc1ccc(C#N)cc1)c1ccccc1
O=C(NCC*)Nc1cccnc1;N(C(=O)c1ccccc1);O=C(NCCNC(=O)c1ccccc1)Nc1cccnc1
O=C(C*)Nc1cc(F)ccc1F;O(C(=O)c1n[nH]c2ccccc12);O=C(COC(=O)c1n[nH]c2ccccc12)Nc1cc(F)ccc1F
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1*;O(C(=O)c1ccncc1);CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)c1ccncc1
COc1ccccc1NC(=O)NCC*;C(n1ccc2ccccc12);COc1ccccc1NC(=O)NCCCn1ccc2ccccc21
Cc1cccc2c1N(*)C(=O)C2=O;C(c1ccc(OC(C)C)cc1);Cc1cccc2c1N(Cc1ccc(OC(C)C)cc1)C(=O)C2=O
CCOc1ccccc1C(=O)*;N(C1CCCCCCC1);CCOc1ccccc1C(=O)NC1CCCCCCC1
CC[NH+](CC)C[C@@H](C)N*;C(=O)(c1nn(C)cc1I);CC[NH+](CC)C[C@@H](C)NC(=O)c1nn(C)cc1I
Cc1ccc2c(c1)N(CC*)C(=O)CO2;C(=O)(NC[C@H]1CCCO1);Cc1ccc2c(c1)N(CCC(=O)NC[C@H]1CCCO1)C(=O)CO2
Cc1c(CCO)c(=O)n(C)n1*;S(=O)(=O)(c1ccc(I)cc1);Cc1c(CCO)c(=O)n(C)n1S(=O)(=O)c1ccc(I)cc1
CC[C@@H](C)OC(=O)[C@H]1CC=CC[C@@H]1*;C(=O)(Nc1cccc(C)c1C);CC[C@@H](C)OC(=O)[C@H]1CC=CC[C@@H]1C(=O)Nc1cccc(C)c1C
O=C(NCc1ccc2c(c1)OCO2)*;C(S(=O)(=O)c1ccccc1);O=C(CS(=O)(=O)c1ccccc1)NCc1ccc2c(c1)OCO2
Oc1c(Cl)cc(Cl)cc1C*;N(c1[nH]c2ccccc2[nH+]1);Oc1c(Cl)cc(Cl)cc1CNc1[nH]c2ccccc2[nH+]1
C[C@@H](CC(=O)*)c1ccccc1;N(c1ccc(S(N)(=O)=O)cc1);C[C@@H](CC(=O)Nc1ccc(S(N)(=O)=O)cc1)c1ccccc1
Cc1nn(-c2ccccc2)c(C)c1C*;N(C(=O)c1cccc(F)c1);Cc1nn(-c2ccccc2)c(C)c1CNC(=O)c1cccc(F)c1
O=C(Nc1ccc(C(F)(F)F)cc1)*;C(Oc1ccc(F)cc1Cl);O=C(COc1ccc(F)cc1Cl)Nc1ccc(C(F)(F)F)cc1
CCCCNC(=O)c1ccccc1*;N(C(=O)C1CCCCC1);CCCCNC(=O)c1ccccc1NC(=O)C1CCCCC1
C[C@@H](C(=O)NCCC1=CCCCC1)*;O(c1ccc(C#N)cc1);C[C@H](Oc1ccc(C#N)cc1)C(=O)NCCC1=CCCCC1
COC(=O)c1ccccc1NC(=O)C*;O(C(=O)c1cccnc1Cl);COC(=O)c1ccccc1NC(=O)COC(=O)c1cccnc1Cl
O=C(C*)NC1CCCCCC1;O(C(=O)c1cc(Cl)nc(Cl)c1);O=C(COC(=O)c1cc(Cl)nc(Cl)c1)NC1CCCCCC1
COc1ccccc1[C@H](C)N*;C(=O)(c1cc(C)ccc1C);COc1ccccc1[C@H](C)NC(=O)c1cc(C)ccc1C
O=C(NC12CC3CC(CC(C3)C1)C2)*;C(Sc1ncccc1C(=O)[O-]);O=C(CSc1ncccc1C(=O)[O-])NC12CC3CC(CC(C3)C1)C2
C[C@H](OC(=O)COc1ccccc1)C(=O)*;N(c1cccc(C#N)c1);C[C@H](OC(=O)COc1ccccc1)C(=O)Nc1cccc(C#N)c1
Cc1cc(Cl)ccc1NC(=O)C*;O(c1ccc(Cl)cc1C);Cc1cc(Cl)ccc1NC(=O)COc1ccc(Cl)cc1C
CN(Cc1nc2ccccc2c(=O)[nH]1)*;C(=O)(c1cc(Br)ccc1Cl);CN(Cc1nc2ccccc2c(=O)[nH]1)C(=O)c1cc(Br)ccc1Cl
COc1ccccc1NC(=O)*;C(C[NH+]1C[C@H](C)O[C@@H](C)C1);COc1ccccc1NC(=O)CC[NH+]1C[C@H](C)O[C@@H](C)C1
CC[C@@H](N*)c1ccccc1;C(=O)(c1ccccc1I);CC[C@@H](NC(=O)c1ccccc1I)c1ccccc1
COc1ccccc1CNC(=O)CC*;S(=O)(=O)(c1ccc(C)cc1);COc1ccccc1CNC(=O)CCS(=O)(=O)c1ccc(C)cc1
COc1cccc(OC)c1OC*;C(=O)(Nc1ccc(C)cc1);COc1cccc(OC)c1OCC(=O)Nc1ccc(C)cc1
C[C@@H]1C[C@H]1C(=O)OCC(=O)*;N(Cc1ccccc1Cl);C[C@@H]1C[C@H]1C(=O)OCC(=O)NCc1ccccc1Cl
C[C@@H]1Cc2ccccc2N1C(=O)C*;S(c1nnc(C2CC2)n1C);C[C@@H]1Cc2ccccc2N1C(=O)CSc1nnc(C2CC2)n1C
C[C@@H](CC(=O)*)c1ccccc1;O(c1ccc(C#N)cc1);C[C@@H](CC(=O)Oc1ccc(C#N)cc1)c1ccccc1
COc1ccccc1CCC(=O)*;N(c1ccc(N(C)C)cc1);COc1ccccc1CCC(=O)Nc1ccc(N(C)C)cc1
Cn1nnnc1SCC(=O)*;N(c1ccc(Br)c(Br)c1);Cn1nnnc1SCC(=O)Nc1ccc(Br)c(Br)c1
O=C(CO*)Nc1ccc(Cl)cc1F;C(=O)(c1ccc(Cl)c(Cl)c1);O=C(COC(=O)c1ccc(Cl)c(Cl)c1)Nc1ccc(Cl)cc1F
COC(=O)c1ccccc1NC(=O)CO*;C(=O)(c1ccc(C)cc1);COC(=O)c1ccccc1NC(=O)COC(=O)c1ccc(C)cc1
Cc1ccccc1CC(=O)*;N(Cc1ccccc1F);Cc1ccccc1CC(=O)NCc1ccccc1F
O=C(CN(c1ccc(F)cc1)*)NC1CC1;S(=O)(=O)(c1ccccc1);O=C(CN(c1ccc(F)cc1)S(=O)(=O)c1ccccc1)NC1CC1
CN(C*)C(=O)c1ccccc1;C(=O)(Nc1ccc(Cl)cc1);CN(CC(=O)Nc1ccc(Cl)cc1)C(=O)c1ccccc1
CCc1cc2c(C)cc(=O)oc2cc1O*;C(C(=O)N[C@@H](C)C(=O)[O-]);CCc1cc2c(C)cc(=O)oc2cc1OCC(=O)N[C@@H](C)C(=O)[O-]
C[C@H](NC(=O)*)c1ccncc1;C(Oc1ccc(Br)cc1);C[C@H](NC(=O)COc1ccc(Br)cc1)c1ccncc1
C[C@H](c1ccc(O)cc1)*;N(C(=O)c1ccccc1);C[C@@H](NC(=O)c1ccccc1)c1ccc(O)cc1
C[C@H](CNC(=O)c1ccc(Br)o1)*;N(C(=O)c1ccc(Br)o1);C[C@H](CNC(=O)c1ccc(Br)o1)NC(=O)c1ccc(Br)o1
O=C([O-])[C@H]1[C@H]2CC[C@H](C2)[C@@H]1*;C(=O)(Nc1ccc(Br)cc1);O=C([O-])[C@H]1[C@H]2CC[C@H](C2)[C@@H]1C(=O)Nc1ccc(Br)cc1
C[C@H](Nc1ccc2c(c1)OCO2)C(=O)*;N(c1cccc(C#N)c1);C[C@H](Nc1ccc2c(c1)OCO2)C(=O)Nc1cccc(C#N)c1
O=C(N1CCSc2ccccc21)*;N(c1cccc(C(F)(F)F)c1);O=C(Nc1cccc(C(F)(F)F)c1)N1CCSc2ccccc21
CCc1cccc(C)c1NC(=O)[C@H](C)*;O(c1ccc(Cl)cc1C);CCc1cccc(C)c1NC(=O)[C@H](C)Oc1ccc(Cl)cc1C
O=C(c1ccc(O)cc1)*;O(Cc1cccc(Cl)c1);O=C(OCc1cccc(Cl)c1)c1ccc(O)cc1
CC[C@H](C)NC(=O)[C@H](C)*;O(c1ccc(Cl)c(C)c1);CC[C@H](C)NC(=O)[C@H](C)Oc1ccc(Cl)c(C)c1
O=C(Nc1ccc(I)cc1)*;C(OC(=O)C1CCCCC1);O=C(COC(=O)C1CCCCC1)Nc1ccc(I)cc1
Cn1cnnc1SCC(=O)*;N(c1cc(Cl)cc(Cl)c1);Cn1cnnc1SCC(=O)Nc1cc(Cl)cc(Cl)c1
C[C@@H](C(=O)N*)n1sc2ccccc2c1=O;C(CCc1ccccc1);C[C@@H](C(=O)NCCCc1ccccc1)n1sc2ccccc2c1=O
O=C(Nc1cc(Cl)c(Cl)cc1Cl)*;C(Sc1nc2c(c(=O)[nH]1)CCC2);O=C(CSc1nc2c(c(=O)[nH]1)CCC2)Nc1cc(Cl)c(Cl)cc1Cl
O=S(=O)(c1cccc2nonc12)*;N(c1ccc2c(c1)OCCO2);O=S(=O)(Nc1ccc2c(c1)OCCO2)c1cccc2nonc12
CC[C@](C)(C(=O)NC1CCCC1)*;N(Cc1ccco1)(C(C)=O);CC[C@](C)(C(=O)NC1CCCC1)N(Cc1ccco1)C(C)=O
CC[NH2+][C@@H](CC(=O)*)C(=O)[O-];N(c1cc(Cl)ccc1C);CC[NH2+][C@@H](CC(=O)Nc1cc(Cl)ccc1C)C(=O)[O-]
O=C1c2cccc3cccc(c23)N1*;C(COc1ccc(F)cc1);O=C1c2cccc3cccc(c23)N1CCOc1ccc(F)cc1
C[C@@H](Sc1nc(N)cc(N)n1)C(=O)*;N(C[C@H](C)c1ccccc1);C[C@@H](Sc1nc(N)cc(N)n1)C(=O)NC[C@H](C)c1ccccc1
